Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach
343,21,10,9,691.1486008167267,38,0.7154816205660189,0.8,0.13619634901787386,0.9421902785128602
344,29,12,9,482.338495016098,41,0.8523247279362715,0.6,0.1410940389739644,0.8568983227427495
345,29,17,10,576.5168099403381,33,0.6371486338802548,0.5333333333333333,0.13407695049859505,0.7127094114887349
346,25,11,9,580.2696812152863,52,0.8074635279942878,0.6666666666666666,0.28612188716457027,0.7734593641642283
347,29,14,11,741.4915788173676,49,0.29288186565151064,0.9333333333333333,0.13258601737281978,0.9780242314992549
348,26,13,11,618.8015394210815,47,0.6241926504534346,0.6666666666666666,0.13734186989447067,0.7595862148100798
349,26,12,10,830.4578156471252,34,0.6306679317934484,0.8,0.28459212049617477,0.801016748729354
350,27,12,14,1684.6937074661255,63,0.8580322827675938,0.6,0.1431476026349507,0.7810136989113238
351,29,14,11,505.6934566497803,36,0.7237662715595523,0.5333333333333333,0.2821825775179594,0.937202895341544
352,30,11,14,1054.1590747833252,40,0.7824565293689477,0.7333333333333333,0.27876524861131946,0.6281262486525375
353,27,11,12,636.1133980751038,50,0.7759447746822465,0.6666666666666666,0.1445170732583282,0.9355534934050648
354,24,12,10,458.11282682418823,38,0.9194648897446327,0.7333333333333333,0.13525500123303566,0.8735306081886732
355,27,12,13,1220.6179356575012,44,0.48429138526961685,0.8,0.13586044759708604,0.9747234916287898
356,27,14,11,446.7830867767334,28,0.714196072452402,0.8666666666666667,0.12899355323897857,0.853338658825645
357,24,12,10,651.1130044460297,55,0.8480315460812436,0.7333333333333333,0.13663883700939064,0.9568468242835192
358,25,7,12,309.4973168373108,38,0.7327042042749324,0.7333333333333333,0.13523060326789302,0.9551095127756429
359,18,7,9,135.47227907180786,21,0.8410390927242282,0.6666666666666666,0.12853129272955002,0.9999998581331326
360,25,10,10,620.4471733570099,30,0.7657546865350517,0.6666666666666666,0.286236235750731,0.6710794670876435
361,28,13,9,482.4766058921814,20,1.0509908331211506,0.4666666666666667,0.1390333451184563,0.8383514338447193
362,29,16,12,915.6582207679749,27,0.7115083963366342,0.8,0.13300418058633634,0.8063951529131518
363,25,11,13,474.09410309791565,38,0.7815292080354886,0.8,0.43604139664251634,0.829577406607093
364,28,15,10,507.9198534488678,34,0.6264815266333045,0.8,0.13601030510871173,0.8873656890561263
365,25,9,7,579.9786860942841,38,0.7594919684499017,0.7333333333333333,0.13903792731252632,0.9222641791122658
366,31,14,11,346.3274402618408,24,0.9331247250347122,0.6,0.13304874272971653,0.9671289995609712
367,28,19,8,1564.1149516105652,47,0.8654768033349403,0.5333333333333333,0.1362733378891986,0.7569051250364351
368,33,20,9,1036.8417460918427,53,0.4982427683028,0.8666666666666667,0.13377824994797594,0.9648807648431844
369,24,13,9,709.3810286521912,29,0.7348779376849442,0.8,0.12776402145023222,0.9648329932932804
370,25,10,11,426.88771986961365,21,0.9801144274055607,0.4666666666666667,0.1397791806867678,0.999999955788401
371,24,9,11,341.3390531539917,37,0.6905343447552437,0.8,0.1227603713405365,0.7558168616009212
372,31,15,12,886.4039611816406,29,0.652843998062552,0.9333333333333333,0.12728552675001686,0.9063685655608427
373,31,18,10,669.4769539833069,37,0.6674235026747373,0.6666666666666666,0.13295951283898447,0.9686735717170197
374,26,10,11,363.83830189704895,35,0.886092934896947,0.7333333333333333,0.14984703639757768,0.9176286885097932
375,21,9,10,244.4865152835846,27,0.7537207983355765,0.6666666666666666,0.1315694101000679,0.8630334282730238
376,22,6,12,568.6246249675751,40,0.9835054266421238,0.6,0.28855018303340507,0.9729393449390261
377,30,17,8,341.2883286476135,22,0.7770793450343167,0.8666666666666667,0.13395681111136007,0.9108517111013508
378,23,10,8,205.64769053459167,24,0.7896578920321551,0.8,0.2750978677204424,0.8393207585001776
379,26,12,9,702.809020280838,30,0.7421595970055166,0.8666666666666667,0.1280175060928089,0.8930999159429419
380,25,10,12,885.5038433074951,41,0.8334856874530125,0.8,0.13649308871882276,0.9228420784114749
381,27,11,10,401.07552552223206,38,0.669787430117226,0.7333333333333333,0.14470831187679753,0.9378831132546128
