Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach,FP1,FP2,DKL
257,23,11,8,1230.7609515190125,60,0.40843477748229556,1.0,0.1357587291924082,0.9326448876625788,0.06282221198872318,0.011007259792945376,0.16862573529796832
258,23,5,16,326.3382179737091,23,1.276993687674063,0.13333333333333333,0.27569602768116785,1.0000000047766404,0.128017141849023,0.054951946017359546,1.659816357219407
259,25,10,11,456.9999122619629,21,0.8572544261084654,0.7333333333333333,0.1406295345916455,0.8006038881446977,0.06282797945855281,0.011800425238165312,0.2335258909452183
260,27,13,12,1405.183189868927,52,0.8441567792183401,0.6,0.12969949257033273,0.8816043053170869,0.0633956387407758,0.010851005557495923,0.15436344196100887
261,18,7,9,715.2706325054169,50,0.7822365028773934,0.6666666666666666,0.4443965837059074,0.9366693079866036,0.2494274513456222,0.12839958323454606,3.5170010506426532
262,30,19,10,1826.1111261844635,49,0.42541778479996445,1.0,0.14635343488791067,0.831056176097089,0.06336941330695274,0.011295189453452571,0.2059027674772882
263,27,9,12,707.8349635601044,38,0.7423956964262327,0.8,0.1560454730413042,0.8660471093196958,0.06258827445331915,0.01695503432440994,0.7940217956576884
264,23,10,9,688.229218006134,36,0.8803123133062104,0.5333333333333333,0.12877845207095587,0.8816898986873113,0.06012425267419864,0.011776783068976858,0.3962909103542295
265,27,14,9,1325.4201502799988,53,0.8444884680933414,0.5333333333333333,0.14126382225840656,0.8583536785408968,0.06388944272407025,0.010876350764133673,0.1664896134933092
266,25,9,11,654.743001461029,39,1.0321142603567408,0.6666666666666666,0.28151236878845937,0.9451658738748162,0.1250018561960951,0.04132225332727484,0.8543101389195266
267,28,13,11,510.5535092353821,38,0.7619044631266264,0.6666666666666666,0.14218959566481604,0.9516044322114849,0.06303236557825935,0.009174149220864064,0.08284360673368324
268,24,6,13,156.54074597358704,22,0.943561551460443,0.5333333333333333,0.6763110549348534,0.8787292106514468,0.49315546059473864,0.36877348083914707,16.164063359177064
269,26,7,11,748.3355236053467,56,0.6958726106824138,0.6666666666666666,0.13791883482793343,0.8345767263219176,0.06116519688554183,0.013685235628542921,0.5186687616257326
270,26,8,15,568.8568427562714,53,0.829834522151674,0.6666666666666666,0.13107907452456724,0.9377844683382915,0.06094073626857146,0.011811752069142988,0.30388539955110505
271,26,13,12,473.34779810905457,35,0.8049939471629971,0.7333333333333333,0.14035310186959155,0.7515008881846884,0.06366824757086852,0.012232637013657194,0.28244600386027946
272,24,13,10,1016.6369059085846,42,0.6170161784207634,0.9333333333333333,0.1383816528705767,0.8430413572477201,0.06034120273680519,0.01067589976077582,0.23685650860348098
273,32,17,11,1552.0439257621765,47,0.5452675966567829,0.9333333333333333,0.13508206007636653,0.9707377268661079,0.06266655585990138,0.009893483718759448,0.11918987690423598
274,27,12,11,527.4076826572418,42,0.8222259262990561,0.6666666666666666,0.13231086427544866,0.7312037720981388,0.06066724371513619,0.014198527397246136,0.6244222653531855
275,31,15,11,402.4610767364502,26,0.9086344467685575,0.6,0.12966599325850564,0.885988657760856,0.06327743633607731,0.009053148969127513,0.07841125001847092
276,29,16,10,451.61439990997314,30,0.5019716033034362,0.8666666666666667,0.14035115126494085,0.9479578426177667,0.06281045738342993,0.011117261293440069,0.204608598921746
277,29,16,6,617.1642572879791,24,0.5598685058975507,0.8,0.1332703686633416,0.7328324346410454,0.06193019934250269,0.011568538576727155,0.23967033014958505
278,26,14,8,251.36429929733276,21,0.7730304917874605,0.7333333333333333,0.14002604411221972,0.8523593750510057,0.06406591636499666,0.012867222506346854,0.3726904706387169
279,25,11,11,285.0308973789215,26,0.797138311986211,0.6,0.13786906201966603,0.9717844643217649,0.06074223602619701,0.011859861176347396,0.388380249845499
280,22,9,13,428.3463897705078,39,0.7359746887425997,0.7333333333333333,0.1315422302805227,0.9179632666586506,0.06586484078404695,0.012890771921272906,0.2583136996564529
281,26,11,10,962.9110260009766,46,0.6526402794933284,0.7333333333333333,0.14204084370706568,0.8866848581179056,0.062238419059590044,0.010307854216424784,0.1745481141709641
282,30,20,7,1327.7471280097961,41,0.8207171941908855,0.6666666666666666,0.12534894453162448,0.7917992613777244,0.06284120088984038,0.009693473546107095,0.11459359449851847
283,25,9,8,726.7545404434204,50,0.7495720290759833,0.7333333333333333,0.2608749532665753,0.8723232329202473,0.12550966548954598,0.045300815857041016,1.0619561713063952
284,27,12,10,241.2514464855194,21,0.7716563907478561,0.6666666666666666,0.12222332992135321,0.7549702697301554,0.061660732056950975,0.011785880255584733,0.3523758298361268
285,22,5,16,218.5297873020172,31,1.2522158683810996,0.13333333333333333,0.44070974437090155,0.7499987156362528,0.24717752595556916,0.12324009368147308,3.292372937455662
286,28,16,8,635.5978367328644,46,0.6169733337807141,0.8,0.13504318304126295,0.7702065022248454,0.06118215293600877,0.01220030953141006,0.3665650625953171
287,25,8,14,709.2765114307404,36,0.6233295351508806,0.8,0.1358149568310041,1.0000009796819251,0.06232465926329255,0.009618265186927757,0.10681263404132167
288,28,13,12,671.2256603240967,45,0.7468321487447158,0.7333333333333333,0.1556526657134367,0.9553522248575728,0.06297686822648613,0.010992178004775982,0.19392139028630156
289,33,22,10,1864.329371213913,82,0.4971052591748183,0.8666666666666667,0.14224764173049448,0.9591618440683924,0.06305877155619607,0.008922046541475638,0.08002895807511985
290,26,13,11,798.9269454479218,61,0.5060385121590578,0.7333333333333333,0.13362236900803343,0.9143488808520892,0.06244573052470925,0.012098131878183526,0.3116335370870569
291,23,9,12,1111.8567843437195,58,0.8978315654151856,0.6,0.2838271096466442,0.7270652436888486,0.12693902352288292,0.042002922033329525,0.8698115569164315
292,22,9,10,558.1379880905151,63,0.8496206041004544,0.4666666666666667,0.27642582144209227,0.9081437330085174,0.1261121807180965,0.03993245100042515,0.8193117141711084
293,25,8,14,287.5315828323364,29,0.6897538472325656,0.7333333333333333,0.14424611433353718,0.9392007990300187,0.06273336794753145,0.016738411612937737,0.8334792693063782
